Rank,Name,Conference,Record,Road,Neutral,Home,Non-Div 1
298,Jacksonville St.,CUSA,6-9-2,2-5-1,0-0-0,4-4-1,0-0-0
299,Sacramento St.,Big Sky,3-9-5,0-5-3,0-0-0,3-4-2,1-0-0
300,Fordham,Atlantic 10,4-10-4,0-4-3,0-0-0,4-6-1,0-0-0
301,CSUN,Big West,1-13-5,0-7-2,0-0-0,1-6-3,0-0-0
302,Jackson St.,SWAC,10-10-0,4-3-0,2-1-0,4-6-0,0-0-0
303,UTRGV,WAC,3-10-3,1-7-1,0-0-0,2-3-2,0-0-1
304,Tarleton St.,WAC,4-12-3,1-6-1,0-0-0,3-6-2,0-0-0
305,SFA,WAC,2-14-2,1-7-1,0-0-0,1-7-1,0-0-0
306,Western Ill.,OVC,3-8-5,1-6-2,0-0-0,2-2-3,0-0-0
307,Eastern Mich.,MAC,1-12-6,1-8-2,0-0-0,0-4-4,0-0-0
308,Weber St.,Big Sky,1-9-5,0-7-2,0-0-0,1-2-3,0-0-0
309,George Mason,Atlantic 10,3-15-0,1-8-0,0-0-0,2-7-0,0-0-0
310,UMBC,America East,2-11-4,1-5-2,0-0-0,1-6-2,1-0-0
311,Davidson,Atlantic 10,4-11-2,3-5-1,0-0-0,1-6-1,0-0-0
312,Southern Ill.,MVC,1-11-5,0-7-2,0-0-0,1-4-3,0-0-0
313,Akron,MAC,3-14-1,3-6-1,0-0-0,0-8-0,0-0-0
313,George Washington,Atlantic 10,4-11-3,3-6-0,0-0-0,1-5-3,0-0-0
315,UC Riverside,Big West,2-10-7,0-5-4,0-0-0,2-5-3,0-0-0
316,Marist,MAAC,2-9-5,2-4-3,0-0-0,0-5-2,0-0-0
317,Presbyterian,Big South,2-10-3,1-6-1,0-0-0,1-4-2,1-0-0
318,Winthrop,Big South,3-8-2,1-5-0,0-0-0,2-3-2,1-0-0
319,Gardner-Webb,Big South,3-12-2,1-7-1,0-0-0,2-5-1,1-0-0
320,LIU,NEC,7-8-2,4-5-1,0-0-0,3-3-1,0-0-0
